y,x,labels
16.76325,3.77022,0
7.1868196,7.33239,0
24.563318,5.671598,0
21.24633,5.964285,0
20.872263,3.965656,0
7.6276436,2.2902567,0
25.954773,5.5974455,0
11.627048,4.3581004,0
31.468342,6.0388603,0
10.674813,7.300588,0
4.272025,2.568713,0
15.825111,5.930337,0
8.901133,7.321963,0
27.93075,5.909435,0
1.0825415,1.7980008,0
-1.2644788,1.8103349,0
2.6599395,2.194753,0
17.830616,3.627973,0
9.165796,2.3923051,0
-8.064971,1.6719507,0
8.572085,3.334045,0
-9.730531,1.8067981,0
27.933363,5.4999347,0
37.93988,4.8414063,0
15.629963,5.8672953,0
7.938659,7.171154,0
36.46913,4.865871,0
11.479647,3.491501,0
12.706,3.6701088,0
15.672753,6.146091,0
13.935677,6.8157816,0
8.28104,3.3476186,0
-3.611131,1.6127682,0
-1.6677266,1.7114855,0
9.805381,7.245005,0
9.723697,4.6871333,0
5.8073044,2.8528986,0
22.050192,4.102195,0
29.91012,5.975473,0
11.822313,4.0728273,0
20.040083,3.6156385,0
33.7665,6.101837,0
28.439707,5.900941,0
37.19428,4.746822,0
-4.370389,1.931623,0
5.39615,7.2611623,0
-6.2383013,1.6567044,0
23.390478,5.799667,0
2.8561995,2.3651583,0
10.686029,4.421265,0
53.992893,5.8434906,1
47.418625,5.680982,1
52.69401,5.8686705,1
-4.8625135,2.6013763,1
42.31509,5.4396987,1
-4.7998447,3.6165102,1
48.145077,5.7152734,1
-76.09841,-1.6382579,1
43.90201,5.501533,1
-5.7629805,2.8415704,1
-75.24293,-1.60247,1
7.939522,3.8026528,1
14.685576,2.6440997,1
25.773205,4.10402,1
7.7937703,2.9160316,1
43.604496,5.694056,1
-6.724044,3.634243,1
12.225564,2.872673,1
55.95761,9.342321,1
-0.7528693,2.3962855,1
61.533592,8.517642,1
28.234158,4.1070533,1
62.121895,9.211456,1
27.515446,4.098607,1
32.681503,5.0353804,1
42.960735,5.408208,1
46.456852,5.631382,1
52.778687,6.0059414,1
23.1221,4.082386,1
3.5420642,2.277592,1
-0.41058332,2.3379636,1
1.0895704,2.2698863,1
10.550281,3.0420198,1
66.77712,9.399551,1
-7.4983244,3.5310812,1
49.277004,5.888525,1
50.96581,5.7655544,1
54.879345,9.311688,1
3.1819785,3.6213589,1
-4.823983,2.676188,1
-1.3675687,3.3896348,1
25.057688,4.2262754,1
12.074932,2.7972138,1
-76.86304,-1.6859586,1
1.1591455,3.3115275,1
5.108491,3.726703,1
4.5413175,3.6206126,1
31.074274,4.5452166,1
-78.2975,-1.6734358,1
2.9810998,3.3931751,1
-69.253296,7.246019,2
77.52727,10.2476845,2
-95.46061,5.7812486,2
-42.04582,8.592914,2
-52.59645,8.014659,2
-109.83976,4.745209,2
-8.151836,3.3792405,2
-102.5798,5.016633,2
-46.755955,8.326308,2
-86.751015,6.7132115,2
-56.859997,7.140692,2
-52.989532,7.593393,2
-72.19811,6.858241,2
78.54406,10.293968,2
82.27433,10.314607,2
-64.19454,7.048821,2
-44.383778,8.425109,2
-108.15903,5.050772,2
-113.04681,4.5845327,2
60.767296,9.401394,2
-83.27104,6.733324,2
80.18932,10.285487,2
-111.40122,4.5760674,2
60.42199,8.83569,2
-83.79076,6.7437973,2
-97.52254,5.532789,2
60.72818,8.6675625,2
60.17977,8.596696,2
-49.291164,8.250933,2
-98.393555,5.52638,2
-103.63328,5.204468,2
-106.79687,4.8066463,2
-50.528103,8.178133,2
65.115326,9.217054,2
-38.60502,8.88039,2
-106.54554,4.8426538,2
-67.09798,7.094158,2
-43.4533,8.5045595,2
61.248226,8.492008,2
-70.805336,6.8797846,2
-80.18008,6.8979454,2
-66.348015,6.906463,2
76.70403,10.162024,2
-84.748436,6.7356634,2
-80.63535,6.837097,2
-65.51967,6.9361205,2
58.855118,8.598372,2
-55.53986,7.4392924,2
-65.64976,7.0373163,2
57.860287,8.73925,2
